letters,longest,wordlen,wordlist
fiilmpsy,simplify,8,films filmy flips imply limps slimy flimsy simply simplify
giiilmnt,limiting,8,glim limn ???? ???? ???? ???? ling lint ting glint limit liming tiling timing milting limiting
acepr,recap,5,acre aper cape care carp crap pace pare pear race reap ????? ????? ????? ?????
ahmrtw,warmth,6,harm hart mart math ???? thaw tram warm wham what wrath warmth
ciksty,sticky,6,city cyst icky kits sick skit tick tics stick ticks sticky
efginr,finger,6,fern fine fire frig grin rein rife ring feign finer grief infer reign finger fringe
aackltw,catwalk,7,acta calk claw lack tack talc talk wack walk alack catwalk
aimprry,primary,7,airy army ???? ???? ???? ???? ???? miry pair parr marry parry primary
hlprsuu,sulphur,7,hurl lush plus purl push rush slur spur hurls lupus ????? plush purls slurp sulphur
aeglppr,grapple,7,apple gaper glare grape lager large pager paler paper pearl plage regal rappel grapple
accehos,coaches,7,aches cache chaos chase chose coach cocas echos caches coaches
addeisv,advised,7,aided aides aside divas dived dives ideas saved sided vised advise visaed advised
cceelry,recycle,7,eely eyer leer lyre reel rely creel cycle leery recce celery cycler recycle
adiorsv,advisor,7,adios avoid divas dorsa radio raids roads savor visor voids avoids radios savior advisor
aeenrtv,veteran,7,avert eaten eater enter event evert nerve never ranee raven revet neater tavern venter veteran
ceoorst,scooter,7,coots cores cotes crest recto roost roots scoot score store torso corset escort rectos sector scooter
eeqrstu,request,7,ester queer quest reset reuse steer terse trees trues queers quester request
bccemruu,cucumber,8,berm cube curb cure ecru rube cecum crumb cuber umber ?????? ????????
aaegimrr,marriage,8,aimer airer armer gamer grime image marge maria ramie rearm gamier imager mirage marriage
cdeeiimn,medicine,8,deice denim emend indie medic mince mined niece icemen minced endemic medicine
cdeiinnt,incident,8,cited edict indie nitid citied dentin incite indent indict indite intend tinned incited incident
